
abandon	bỏ, từ bỏ
damp	ẩm, ẩm ướt, ẩm thấp
dance	sự nhảy múa, sự khiêu vũ; nhảy múa, khiêu vũ
dancing	sự nhảy múa, sự khiêu vũ
dancer	diễn viên múa, người nhảy múa
danger	sự nguy hiểm, mối hiểm nghèo; nguy cơ, mối đe dọa
dangerous	nguy hiểm
dare	dám, dám đương đầu với; thách
dark	tối, tối tăm; bóng tối, ám muội
data	số liệu, dữ liệu
date	ngày, kỳ, kỳ hạn, thời kỳ, thời đại; đề ngày tháng, ghi niên hiệu
daughter	con gái
day	ngày, ban ngày
dead	chết, tắt
deaf	điếc, làm thinh, làm ngơ
deal	phân phát, phân phối; sự giao dịch, thỏa thuận mua bán
deal	giải quyết
dear	thân, thân yêu, thân mến; kính thưa, thưa
death	sự chết, cái chết
debate	cuộc tranh luận, cuộc tranh cãi; tranh luận, bàn cãi
debt	nợ
decade	thập kỷ, bộ mười, nhóm mười
decay	tình trạng suy tàn, suy sụp, tình trạng đổ nát
December	tháng mười hai, tháng Chạp
decide	quyết định, giải quyết, phân xử
decision	sự quyết định, sự giải quyết, sự phân xử
declare	tuyên bố, công bố
decline	sự suy tàn, sự suy sụp; suy sụp, suy tàn
decorate	trang hoàng, trang trí
decoration	sự trang hoàng, đồ trang hoàng, trang trí
decorative	để trang hoàng, để trang trí, để làm cảnh
decrease	giảm bớt, làm suy giảm, sự giảm đi, sự giảm sút
deep	sâu, khó lường, bí ẩn
deeply	sâu, sâu xa, sâu sắc
defeat	đánh thắng, đánh bại; sự thất bại (1 kế hoạch), sự tiêu tan (hy vọng..)
defence	cái để bảo vệ, vật để chống đỡ, sự che chở
defend	che chở, bảo vệ, bào chữa
define	định nghĩa
definite	xác định, định rõ, rõ ràng
definitely	rạch ròi, dứt khoát
definition	sự định nghĩa, lời định nghĩa
degree	mức độ, trình độ; bằng cấp; độ
delay	sự chậm trễ, sự trì hoãn, sự cản trở; làm chậm trễ
deliberate	thận trọng, có tính toán, chủ tâm, có suy nghĩ cân nhắc
deliberately	thận trọng, có suy nghĩ cân nhắc
delicate	thanh nhã, thanh tú, tế nhị, khó xử
delight	sự vui thích, sự vui sướng, điều thích thú; làm vui thích, làm say mê
delighted	vui mừng, hài lòng
deliver	cứu khỏi, thoát khỏi, bày tỏ, giãi bày
delivery	sự phân phát, sự phân phối, sự giao hàng; sự bày tỏ, phát biếu
demand	sự đòi hỏi, sự yêu cầu; đòi hỏi, yêu cầu
demonstrate	chứng minh, giải thích; bày tỏ, biểu lộ
dentist	nha sĩ
deny	từ chối, phản đối, phủ nhận
department	cục, sở, ty, ban, khoa; gian hàng, khu bày hàng
departure	sự rời khỏi, sự đi, sự khởi hành
depend	phụ thuộc, tùy thuộc; dựa vào, ỷ vào, trông mong vào
deposit	vật gửi, tiền gửi, tiền đặt cọc; gửi, đặt cọc
depress	làm chán nản, làm phiền muộn; làm suy giảm
depressing	làm chán nản làm thát vọng, làm trì trệ
depressed	chán nản, thất vọng, phiền muộn; suy yếu, đình trệ
depth	chiều sâu, độ dày
derive	nhận được từ, lấy được từ; xuất phát từ, bắt nguồn, chuyển hóa từ (from)
describe	diễn tả, miêu tả, mô tả
description	sự mô tả, sự tả, sự miêu tả
desert	sa mạc; công lao, giá trị; rời bỏ, bỏ trốn
deserted	hoang vắng, không người ở
deserve	đáng, xứng đáng
design	sự thiết kế, kế hoạch, đề cương. phác thảo; phác họa, thiết kế
desire	ước muốn; thèm muốn, ao ước
desk	bàn (học sinh, viết, làm việc)
desperate	liều mạng, liều lĩnh; tuyệt vọng
desperately	liều lĩnh, liều mạng
despite	dù, mặc dù, bất chấp
destroy	phá, phá hoại, phá huỷ, tiêu diệt, triệt phá
destruction	sự phá hoại, sự phá hủy, sự tiêu diệt
detail	chi tiết
in detail	tường tận, tỉ mỉ
detailed	cặn kẽ, tỉ mỉ, nhiều chi tiết
determination	sự xác định, sự định rõ; sự quyết định
determine	xác định, định rõ; quyết định
determined	đã được xác định, đã được xác định rõ
develop	phát triển,  mở rộng; trình bày, bày tỏ
development	sự phát triển, sự trình bày, sự bày tỏ 
device	kế sách; thiết bị, dụng cụ, máy móc
devote	hiến dâng, dành hết cho
devoted	hiến cho, dâng cho, dành cho; hết lòng, nhiệt tình 
diagram	biểu đồ
diamond	kim cương
diary	lịch ghi nhớ
dictionary	từ điển
die	chết, từ trần, hy sinh
dying	sự chết 
diet	chế độ ăn uống, chế độ ăn kiêng
difference	sự khác nhau
different	khác, khác biệt, khác nhau
differently	khác, khác biệt, khác nhau
difficult	khó, khó khăn, gay go
difficulty	sự khó khăn, nỗi khó khăn, điều cản trở
dig	đào bới, xới
dinner	bữa trưa, chiều 
direct	trực tiếp, thẳng, thẳng thắn;  gửi, viết cho ai, điều khiển
directly	trực tiếp, thẳng
direction	sự điều khiển, sự chỉ huy
director	giám đốc, người điều khiển, chỉ huy
dirt	đồ bẩn thỉu, đồ dơ bẩn, vật rác rưởi
dirty	bẩn thỉu, dơ bẩn
disabled	bất lực, không có khă năng
disadvantage	sự bất lợi, sự thiệt hại
disagree	bất đồng, không đồng ý, khác, không giống; không hợp
disagreement	sự bất đồng, sự không đồng ý, sự khác nhau
disappear	biến mất, biến đi
disappoint	không làm thỏa ước nguyện, ý mong đợi; thất ước, làm thất bại
disappointing	làm chán ngán, làm thất vọng
disappointed	thất vọng
disappointment	sự chán ngán, sự thất vọng
disapproval	sự phản đổi, sự không tán thành
disapprove	không tán thành, phản đối, chê
disapproving	phản đối
disaster	tai họa, thảm họa
disc	đĩa
discipline	kỷ luật
discount	sự bớt giá, sự chiết khấu, tiền bớt, chiết khấu
discover	khám phá, phát hiện ra, nhận ra
discovery	sự khám phá, sự tìm ra, sự phát hiện ra
discuss	thảo luận, tranh luận
discussion	sự thảo luận, sự tranh luận
disease	căn bệnh, bệnh tật
disgust	làm ghê tởm, làm kinh tởm, làm phẫn nộ
disgusting	làm ghê tởm, kinh tởm
disgusted	chán ghét, phẫn nộ
dish	đĩa (đựng thức ăn)
dishonest	bất lương, không thành thật
dishonestly	bất lương, không lương thiện
disk	đĩa, đĩa hát
dislike	sự không ưa, không thích, sự ghét
dismiss	giải tán (quân đội, đám đông); sa thải (người làm)
display	bày tỏ, phô trương, trưng bày; sự bày ra, phô bày, trưng bày
dissolve	tan rã, phân hủy, giải tán
distance	khoảng cách, tầm xa
distinguish	phân biệt, nhận ra, nghe ra
distribute	phân bổ, phân phối, sắp xếp, phân loại
distribution	sự phân bổ, sự phân phối, phân phát, sự sắp xếp
district	huyện, quận
disturb	làm mất yên tĩnh, làm náo động, quấy rầy
disturbing	xáo trộn
divide	chia, chia ra, phân ra
division	sự chia, sự phân chia, sự phân loại
divorce	sự ly dị
divorced	đã ly dị
do	làm
undo	tháo, gỡ; xóa bỏ, hủy bỏ
doctor	bác sĩ y khoa, tiến sĩ
document	văn kiện, tài liệu, tư liệu
dog	chó
dollar	đô la Mỹ
domestic	vật nuôi trong nhà, (thuộc) nội trợ, quốc nội
dominate	chiếm ưu thế, có ảnh hưởng, chi phối; kiềm chế
door	cửa, cửa ra vào
dot	chấm nhỏ, điểm; của hồi môn
double	đôi, hai, kép; cái gấp đôi, lượng gấp đôi; làm gấp đôi
doubt	sự nghi ngờ, sự ngờ vực; nghi ngờ, ngờ vực
down	xuống
downstairs	ở dưới nhà, ở tầng dưới; xống gác; tầng dưới
downwards	xuống, đi xuống
downward	xuống, đi xuống
dozen	tá (12)
draft	bản phác thảo, sơ đồ thiết kế; phác thảo, thiết kế
drag	lôi kéo, kéo lê
drama	kịch, tuồng
dramatic	như kịch, như đóng kịch, thích hợp với sân khấu
dramatically	đột ngột
draw	vẽ, kéo
drawing	bản vẽ, bức vẽ, sự kéo
drawer	người vẽ, người kéo 
dream	giấc mơ, mơ
dress	quần áo, mặc (quần áo), ăn mặc
dressed	cách ăn mặc
drink	đồ uống; uống
drive	lái , đua xe;  cuộc đua xe (điều khiển)
driving	sự lái xe, cuộc đua xe
driver	người lái xe
drop	chảy nhỏ giọt, rơi, rớt; giọt (nước, máu...)
drug	thuốc, dược phẩm; ma túy
drugstore	hiệu thuốc, cửa hàng dược phẩm
drum	cái trống, tiếng trống
drunk	say rượu
dry	khô, cạn; làm khô, sấy khô
due	đến kỳ hạn (trả nợ); xứng đáng, thích đáng
due to	vì, do, tại, nhờ có
hello	xin chào
hi	xin chào
people	con người
